floatID,data_center,file_path,date_time_min,date_time_max,latitude_min,latitude_max,longitude_min,longitude_max,depth_min,depth_max
5904893,CS,data/indian/2020/09/nodc_R5904893_220.nc,2020-09-09T22:13:02Z,2020-09-09T22:13:02Z,-26.6520,-26.6520,53.0130,53.0130,2.80,1983.20
5905011,CS,data/indian/2020/09/nodc_R5905011_176.nc,2020-09-09T07:36:46Z,2020-09-09T07:36:46Z,-23.3060,-23.3060,111.4550,111.4550,4.20,1991.60
5905012,CS,data/indian/2020/09/nodc_R5905012_176.nc,2020-09-09T09:14:08Z,2020-09-09T09:14:08Z,-19.1390,-19.1390,112.6000,112.6000,2.90,1946.30
5905018,CS,data/indian/2020/09/nodc_R5905018_175.nc,2020-09-09T06:05:33Z,2020-09-09T06:05:33Z,-10.4210,-10.4210,97.4950,97.4950,4.20,1995.10
5905019,CS,data/indian/2020/09/nodc_R5905019_175.nc,2020-09-10T15:19:11Z,2020-09-10T15:19:11Z,-10.3090,-10.3090,92.2300,92.2300,4.20,1994.10
5905182,CS,data/indian/2020/09/nodc_R5905182_140.nc,2020-09-09T09:15:46Z,2020-09-09T09:15:46Z,-44.9878,-44.9878,137.0436,137.0436,4.10,1964.50
5905201,CS,data/indian/2020/09/nodc_R5905201_120.nc,2020-09-09T12:34:28Z,2020-09-09T12:34:28Z,-8.8170,-8.8170,78.8930,78.8930,4.10,1980.30
5905211,CS,data/indian/2020/09/nodc_R5905211_104.nc,2020-09-10T05:13:51Z,2020-09-10T05:13:51Z,-14.6121,-14.6121,112.0118,112.0118,4.20,1990.30
5905212,CS,data/indian/2020/09/nodc_R5905212_104.nc,2020-09-10T15:07:29Z,2020-09-10T15:07:29Z,-11.8834,-11.8834,103.8551,103.8551,4.30,2001.20
5905404,CS,data/indian/2020/09/nodc_R5905404_074.nc,2020-09-10T03:03:05Z,2020-09-10T03:03:05Z,-12.4005,-12.4005,105.7580,105.7580,4.20,2004.20
5905405,CS,data/indian/2020/09/nodc_R5905405_074.nc,2020-09-09T04:51:44Z,2020-09-09T04:51:44Z,-13.6046,-13.6046,101.8010,101.8010,4.30,1987.50
5905422,CS,data/indian/2020/09/nodc_R5905422_068.nc,2020-09-10T05:09:35Z,2020-09-10T05:09:35Z,-27.0678,-27.0678,97.7115,97.7115,4.40,1999.60
5905464,CS,data/indian/2020/09/nodc_R5905464_020.nc,2020-09-09T09:11:56Z,2020-09-09T09:11:56Z,-34.7175,-34.7175,103.7080,103.7080,4.00,1971.20
5905465,CS,data/indian/2020/09/nodc_R5905465_020.nc,2020-09-10T16:40:35Z,2020-09-10T16:40:35Z,-31.7421,-31.7421,104.6805,104.6805,4.10,1969.10
5905470,CS,data/indian/2020/09/nodc_R5905470_005.nc,2020-09-09T16:39:42Z,2020-09-09T16:39:42Z,-38.9631,-38.9631,139.5332,139.5332,4.20,1973.60
5905471,CS,data/indian/2020/09/nodc_R5905471_005.nc,2020-09-10T12:59:12Z,2020-09-10T12:59:12Z,-39.4505,-39.4505,134.6345,134.6345,4.30,1996.50
2901337,IN,data/indian/2020/09/nodc_R2901337_319.nc,2020-09-09T10:37:48Z,2020-09-09T10:37:48Z,16.0320,16.0320,70.0370,70.0370,4.20,2000.80
2902183,IN,data/indian/2020/09/nodc_R2902183_183.nc,2020-09-09T23:55:35Z,2020-09-09T23:55:35Z,-4.3120,-4.3120,90.2790,90.2790,2.80,1947.54
2902187,IN,data/indian/2020/09/nodc_R2902187_182.nc,2020-09-09T16:49:16Z,2020-09-09T16:49:16Z,-8.8160,-8.8160,44.8940,44.8940,4.30,1997.49
2902202,IN,data/indian/2020/09/nodc_R2902202_301.nc,2020-09-09T22:56:39Z,2020-09-09T22:56:39Z,16.0590,16.0590,67.2890,67.2890,4.00,1985.80
2902205,IN,data/indian/2020/09/nodc_R2902205_258.nc,2020-09-09T23:17:54Z,2020-09-09T23:17:54Z,16.9750,16.9750,66.6490,66.6490,4.20,1987.80
2902210,IN,data/indian/2020/09/nodc_R2902210_195.nc,2020-09-09T23:12:46Z,2020-09-09T23:12:46Z,18.5300,18.5300,68.1690,68.1690,4.00,2000.10
2902211,IN,data/indian/2020/09/nodc_R2902211_182.nc,2020-09-09T23:10:04Z,2020-09-09T23:10:04Z,18.9480,18.9480,67.4180,67.4180,4.40,1995.30
2902224,IN,data/indian/2020/09/nodc_R2902224_131.nc,2020-09-09T19:01:07Z,2020-09-09T19:01:07Z,-55.7370,-55.7370,139.5810,139.5810,4.70,1899.50
2902228,IN,data/indian/2020/09/nodc_R2902228_131.nc,2020-09-09T01:14:33Z,2020-09-09T01:14:33Z,-58.6490,-58.6490,106.2030,106.2030,4.00,1999.90
2902232,IN,data/indian/2020/09/nodc_R2902232_328.nc,2020-09-05T04:19:25Z,2020-09-05T04:19:25Z,10.2333,10.2333,85.9333,85.9333,0.20,1967.20
2902232,IN,data/indian/2020/09/nodc_R2902232_329.nc,2020-09-10T04:00:58Z,2020-09-10T04:00:58Z,10.1833,10.1833,85.9333,85.9333,0.40,1977.70
2902233,IN,data/indian/2020/09/nodc_R2902233_328.nc,2020-09-05T04:05:25Z,2020-09-05T04:05:25Z,14.6500,14.6500,86.7833,86.7833,0.10,2031.40
2902233,IN,data/indian/2020/09/nodc_R2902233_329.nc,2020-09-10T04:12:26Z,2020-09-10T04:12:26Z,14.5000,14.5000,86.7667,86.7667,0.30,1977.60
2902234,IN,data/indian/2020/09/nodc_R2902234_328.nc,2020-09-05T04:20:57Z,2020-09-05T04:20:57Z,12.2333,12.2333,81.3333,81.3333,0.20,1959.70
2902234,IN,data/indian/2020/09/nodc_R2902234_329.nc,2020-09-10T04:26:33Z,2020-09-10T04:26:33Z,12.2167,12.2167,81.3333,81.3333,0.10,2013.50
2902235,IN,data/indian/2020/09/nodc_R2902235_328.nc,2020-09-05T04:07:50Z,2020-09-05T04:07:50Z,12.7500,12.7500,91.7000,91.7000,0.30,2005.40
2902235,IN,data/indian/2020/09/nodc_R2902235_329.nc,2020-09-10T04:08:57Z,2020-09-10T04:08:57Z,12.5667,12.5667,91.5500,91.5500,0.20,2001.10
